"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 09 22:30:25 CEST 2022","Sun Oct 09 22:30:30 CEST 2022","4489","","Ebay Product Search","","Ebay Product Search","should open the main url and verify the title","should open the main url and verify the title",""
"passed","Sun Oct 09 22:30:16 CEST 2022","Sun Oct 09 22:30:19 CEST 2022","2944","","Ebay Product Search","","Ebay Product Search","should open the main url and verify the title","should open the main url and verify the title",""
"passed","Sun Oct 09 22:30:26 CEST 2022","Sun Oct 09 22:30:26 CEST 2022","714","","Ebay Product Search","","Ebay Product Search","should redirect to a new page and verify the title","should redirect to a new page and verify the title",""
"passed","Sun Oct 09 22:30:35 CEST 2022","Sun Oct 09 22:30:35 CEST 2022","784","","Ebay Product Search","","Ebay Product Search","should update the search category","should update the search category",""
"passed","Sun Oct 09 22:30:30 CEST 2022","Sun Oct 09 22:30:34 CEST 2022","4580","","Ebay Product Search","","Ebay Product Search","should search for the product and verify the search field value","should search for the product and verify the search field value",""
"passed","Sun Oct 09 22:30:19 CEST 2022","Sun Oct 09 22:30:26 CEST 2022","6533","","Ebay Product Search","","Ebay Product Search","should search for the product and verify the search field value","should search for the product and verify the search field value",""
"passed","Sun Oct 09 22:30:34 CEST 2022","Sun Oct 09 22:30:35 CEST 2022","119","","Ebay Product Search","","Ebay Product Search","should redirect to a new page and verify the title","should redirect to a new page and verify the title",""
"passed","Sun Oct 09 22:30:26 CEST 2022","Sun Oct 09 22:30:27 CEST 2022","372","","Ebay Product Search","","Ebay Product Search","should update the search category","should update the search category",""
